state_name,district,latitude,longitude,elevation_m,slope_percent,historical_flood_events,historical_flood_years,historical_fatalities,historical_displaced,historical_max_severity,historical_max_impact,historical_data_available,flood_susceptibility_score,flood_target
Manipur,Kamjong,24.796875,94.392713,1403.0,10.87369928159328,2.0,2.0,33.0,62000.0,2.0,6.921603781912,1,0.0989768076398363,0
Madhya Pradesh,Anuppur,23.035743,81.390492,781.0,1.011135706243126,7.0,6.0,3362.0,4115000.0,2.0,7.6772792647922,1,0.22404502046384722,0
Madhya Pradesh,Ashoknagar,24.618374,77.878765,460.0,0.1088551131845769,4.0,3.0,683.0,848060.0,1.5,7.6772792647922,1,0.11330150068212826,0
Madhya Pradesh,Balaghat,21.861079,80.323596,462.0,11.816064704590854,11.0,10.0,4543.0,1431000.0,2.0,7.6772792647922,1,0.3266030013642565,0
Madhya Pradesh,Harda,22.242797,77.117917,305.0,0.4348218751149451,6.0,5.0,875.0,908060.0,1.5,7.6772792647922,1,0.12871759890859483,0
Madhya Pradesh,Narmadapuram,22.600282,77.926984,340.0,1.135599337944857,7.0,6.0,915.0,925060.0,1.5,7.6772792647922,1,0.14945429740791272,0
Madhya Pradesh,Indore,22.710812,75.807693,559.0,0.5446453230508688,7.0,5.0,911.0,908060.0,1.5,7.6772792647922,1,0.1426330150068213,0
Madhya Pradesh,Jabalpur,23.223166,79.982607,391.0,0.576203291655127,6.0,6.0,752.0,911060.0,1.5,7.6772792647922,1,0.13553888130968622,0
Madhya Pradesh,Jhabua,22.88692,74.724386,390.0,2.51410970206162,14.0,13.0,1560.0,1356077.0,2.0,7.6772792647922,1,0.40695770804911324,0
Madhya Pradesh,Katni,23.717649,80.261021,410.0,0.6946747606039899,8.0,8.0,1010.0,3959060.0,1.5,7.6772792647922,1,0.19010914051841749,0
Madhya Pradesh,Khargone,21.954473,75.752125,208.0,0.6938240486281475,13.0,11.0,1880.0,927860.0,1.5,7.6772792647922,1,0.2904843110504775,0
Madhya Pradesh,Mandla,22.687176,80.583176,490.0,1.9144363811722367,5.0,5.0,3077.0,825000.0,2.0,7.6772792647922,1,0.19894270122783086,0
Puducherry,Pondicherry,11.921836,79.794853,7.0,0.5286093548123109,15.0,13.0,890.0,1212300.0,2.0,6.7995324061198,1,0.34010914051841745,0
Puducherry,Yanam,16.73321,82.205175,4.0,0.2252252252252252,21.0,16.0,8254.0,7776000.0,2.0,7.6772792647922,1,0.6042974079126877,0
Rajasthan,Jaipur,27.150559,75.746774,488.0,0.82380499773731,8.0,7.0,1971.0,3355183.0,2.0,7.6772792647922,1,0.2520804911323329,0
Rajasthan,Jaisalmer,27.027373,70.777652,162.0,0.3652574549768173,6.0,6.0,1930.0,2951017.0,1.5,7.6772792647922,1,0.13553888130968622,0
Rajasthan,Jalore,25.210003,72.319279,116.0,0.330664154897446,15.0,13.0,2655.0,3637477.0,2.0,7.6772792647922,1,0.4206002728512961,0
Rajasthan,Jhalawar,24.312933,76.52299,324.0,0.753647502106205,9.0,8.0,1963.0,2996077.0,1.5,7.6772792647922,1,0.20320600272851297,0
Rajasthan,Jhunjhunu,28.079953,75.541611,348.0,0.3745475642649298,6.0,6.0,1816.0,3406577.0,1.5,7.6772792647922,1,0.13553888130968622,0
