state_name,district,stcode,dtcode,year,flood_events,affected_area,fatalities,displaced,max_severity,max_flood_impact_index,flood_occurred
Andhra Pradesh,East Godavari,28,505,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,East Godavari,28,505,2016,1,137435.40460325,17,3000,1.5,6.7291632323494,1
Andhra Pradesh,East Godavari,28,505,2018,1,87682.569387647,7,300000,1.5,5.420034522303,1
Andhra Pradesh,East Godavari,28,505,2019,1,302736.26273672,25,112500,1.5,6.3561257086734,1
Andhra Pradesh,East Godavari,28,505,2022,1,155000.0,0,60000,1.5,6.1445742076096,1
Andhra Pradesh,Guntur,28,506,1986,1,107355.33281993,150,3000000,1.0,5.933913609651,1
Andhra Pradesh,Guntur,28,506,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Guntur,28,506,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Guntur,28,506,1991,1,599564.88825453,90,85000,1.0,6.5559874421319,1
Andhra Pradesh,Guntur,28,506,1994,2,2092494.9922392298,847,816000,1.0,7.6772792647922,1
Andhra Pradesh,Guntur,28,506,1995,1,262803.20430156,94,12000,1.0,6.0216906475049,1
Andhra Pradesh,Guntur,28,506,1996,1,177527.01853538,326,100000,1.0,5.9482344637432,1
Andhra Pradesh,Guntur,28,506,1997,2,465533.04904697894,38,20000,1.0,6.3634860780538,1
Andhra Pradesh,Guntur,28,506,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Guntur,28,506,2000,1,129459.75891805,162,3000000,2.0,6.3674072990361,1
Andhra Pradesh,Guntur,28,506,2001,2,131911.01071193902,155,59000,1.0,5.71958564905,1
Andhra Pradesh,Guntur,28,506,2005,2,993646.6687805101,215,650000,1.0,7.1897694283678,1
Andhra Pradesh,Guntur,28,506,2006,3,533739.047304208,252,2225000,1.0,7.093902822695,1
Andhra Pradesh,Guntur,28,506,2007,3,617584.427129385,250,270000,1.0,6.7677001834385,1
Andhra Pradesh,Guntur,28,506,2008,1,75487.925180729,74,0,1.5,5.899066787828,1
Andhra Pradesh,Guntur,28,506,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
