state_name,district,latitude,longitude,elevation_m,status
Karnataka,Hassan,13.030246,76.17443,978.0,success
Karnataka,Haveri,14.718019,75.387126,596.0,success
Karnataka,Kodagu,12.382854,75.664212,915.0,success
Karnataka,Kolar,13.17992,78.266664,794.0,success
Karnataka,Koppal,15.57517,76.311826,554.0,success
Karnataka,Mandya,12.636909,76.727479,791.0,success
Karnataka,Mysuru,12.19707,76.612022,716.0,success
Karnataka,Raichur,16.054871,76.900686,402.0,success
Karnataka,Shivamogga,14.055689,75.238001,628.0,success
Karnataka,Tumakuru,13.419261,76.880937,833.0,success
Karnataka,Udupi,13.527058,74.8731,34.0,success
Karnataka,Uttara Kannada,14.725044,74.640217,560.0,success
Karnataka,Chikkaballapura,13.589635,77.782235,864.0,success
Karnataka,Ramanagara,12.720113,77.317775,714.0,success
Karnataka,Yadgir,16.573869,76.925077,363.0,success
Kerala,Alappuzha,9.500614,76.410605,0.0,success
Kerala,Ernakulam,10.04571,76.497432,21.0,success
Kerala,Idukki,9.815972,76.998049,725.0,success
Kerala,Kannur,11.985666,75.547572,7.0,success
Kerala,Kasaragod,12.420039,75.190562,91.0,success
Kerala,Kollam,8.967736,76.857852,104.0,success
Kerala,Kottayam,9.628555,76.645233,51.0,success
Kerala,Kozhikode,11.464151,75.891919,49.0,success
Kerala,Malappuram,11.106349,76.109914,39.0,success
Kerala,Palakkad,10.786764,76.473462,88.0,success
Kerala,Pathanamthitta,9.277372,76.977781,502.0,success
Kerala,Thiruvananthapuram,8.577346,77.04979,75.0,success
Kerala,Thrissur,10.477657,76.273504,9.0,success
Kerala,Wayanad,11.714751,76.125475,738.0,success
Lakshadweep,Lakshadweep District,11.278161,74.042694,0.0,success
Ladakh,Kargil,33.807076,76.438331,3991.0,success
Ladakh,Leh Ladakh,34.712102,78.247944,5855.0,success
Maharashtra,Ahmednagar,19.162156,74.85749,866.0,success
Maharashtra,Akola,20.76141,77.192084,279.0,success
Maharashtra,Amravati,21.154037,77.644342,353.0,success
Maharashtra,Aurangabad,20.023137,75.150311,585.0,success
Maharashtra,Beed,18.992537,75.910545,523.0,success
Maharashtra,Bhandara,21.122799,79.791891,291.0,success
Maharashtra,Buldhana,20.563248,76.408453,548.0,success
Maharashtra,Chandrapur,20.097001,79.503304,239.0,success
Maharashtra,Dhule,21.130882,74.479154,340.0,success
Maharashtra,Gadchiroli,19.756947,80.163277,237.0,success
Maharashtra,Gondia,21.145309,80.268299,327.0,success
Maharashtra,Hingoli,19.623174,77.191156,431.0,success
